station,strike,dip,rakes,shear,comments,recorder
FL17-71,65,80,,,".5m, gouge, veins",sarah
FL17-71,81,82,,,2cm red gouge,sarah
FL17-71,172,58,,,2cm red gouge,sarah
FL17-71,217,65,,,"anasthamosing, red",sarah
FL17-71,214,62,,,anasthamosing,sarah
FL17-71,182,90,,,"eroded, .75m",sarah
FL17-71,50,58,,,"red wet zone, photo, 4m",sarah
FL17-71,214,89,,,red wet zone,sarah
FL17-71,55,63,,,red wet zone,sarah
FL17-71,54,68,,,red wet zone,sarah
FL17-71,71,62,,,red wet zone,sarah
FL17-71,90,80,,,"eroded, 1m",sarah
FL17-71,135,70,,,20m eroded rubble,sarah
FL17-71,58,76,,RL,"brecciated, photo, cuts dike",sarah
FL17-71,335,62,11,LL,,sarah
FL17-71,5,82,,,"red, wet",sarah
FL17-71,357,58,,,cuts f.t.,sarah
FL17-71,95,60,,,"red, gouge .5m",sarah
FL17-71,186,70,172,,red,sarah
FL17-72,335,80,156,,green,sarah
FL17-73,95,72,158,RL,iffy,sarah
FL17-74,205,89,68,T,"photo, lozenge",sarah
FL17-74,80,82,12,RL,,sarah
FL17-74,62,88,,,"photo, outline intact blocks, b.z.",sarah
FL17-74,49,72,,,"outline intact blocks, b.z.",sarah
FL17-74,53,60,,,"<1m, b.z.-related",sarah
FL17-74,24,76,,,b.z.-related,sarah
FL17-74,134,42,,,".5m, b.z.-related",sarah
FL17-74,48,63,,,b.z.-related,sarah
FL17-74,74,49,,,"1m, b.z.-related",sarah
FL17-74,160,80,,,"gouge only, .4m",sarah
FL17-74,188,80,,,not veined or gouge,sarah
FL17-74,8,73,,,not veined or gouge,sarah
FL17-74,4,80,,,not veined or gouge,sarah
FL17-74,165,55,,,"red, 8cm, no veins",sarah
FL17-74,117,76,,,"brown, 15cm, no veins",sarah
FL17-75A,330,90,,,eroded out,sarah
FL17-75A,22,60,,,"5-15cm, green/red gouge",sarah
FL17-75A,38,72,,RL,iffy,sarah
FL17-75B,10,85,,T,"photo, offsets dikelet",sarah
FL17-75B,40,51,12,LL,,sarah
FL17-75B,189,82,,,,sarah
TJ17-38,160,75,,,"4 photo, thru outcrop, 10cm",sarah
FL17-76,15,30,,,red,sarah
FL17-76,69,64,158,,,sarah
FL17-76,40,60,177,,"photo, red, white, zone margin",sarah
FL17-76,331,41,,TR,offsets dike,sarah
FL17-76,325,40,,TR,offsets dike,sarah
FL17-77,327,45,116,TL,"red, near A",sarah
FL17-77,197,68,128,T,near A,sarah
FL17-77,24,51,36,TL,near A,sarah
FL17-77,284,57,22,LL,"red, near B",sarah
FL17-77,260,76,31,RL,"red, near C",sarah
FL17-77,305,59,24,RL,near C,sarah
FL17-77,14,52,168,RL,red,sarah
FL17-77,32,62,158,RL,,sarah
FL17-81,0,42,90,T,"red, veiny",sarah
FL17-81,54,60,170,LL,pink,sarah
FL17-83,45,32,,,,sarah
FL17-85,33,66,177,LL,,sarah
FL17-85,45,62,10,LL,,sarah
FL17-85,21,68,161,TL,,sarah
FL17-85,28,62,170,LL,,sarah
FL17-85,20,64,8,LL,,sarah
FL17-85,330,90,58,RL,NE side up,sarah
FL17-85,8,80,155,LL,B.z.ish,sarah
FL17-85,146,84,9,RL,,sarah
FL17-85,150,86,28,LL,iffy,sarah
FL17-85,147,85,,,,sarah
FL17-86,62,80,170,LL,,sarah
FL17-88,62,50,174,LL,,sarah
FL17-88,87,80,170,LL,,sarah
FL17-92,180,72,,,"photo, red, shiny",sarah
FL17-92,290,57,90,N,photo,sarah
TJ17-39,340,90,,,"In dike, iffy",sarah
TJ17-39,200,80,,,"40cm, v veined",sarah
TJ17-39,30,80,34,RL,,sarah
TJ17-39,300,80,0,LL,,sarah
TJ17-39,92,42,,,cuts flow top,sarah
TJ17-39,350,90,,,,sarah
TJ17-39,76,72,0,LL,"iffy, red",sarah
TJ17-39,142,78,,,".5m, pink, eroded out",sarah
TJ17-39,55,80,,,"turquoise, in shatter",sarah
TJ17-39,150,80,,,in shatter,sarah
TJ17-36A,56,76,14,LL,,seth
TJ17-36B,86,79,16,,,seth
TJ17-36B,198,85,168,RL,,seth
TJ17-36B,53,83,26,LL,,seth
TJ17-36B,58,85,10,LL,,seth
TJ17-36B,89,51,15,LL,red,seth
TJ17-36C,273,72,140,TL,xcuts next two,seth
TJ17-36C,45,85,52,NL,,seth
TJ17-36C,246,81,149,TL,,seth
TJ17-37A,155,67,134,NR,,seth
TJ17-37A,54,50,158,LL,,seth
TJ17-37A,19,68,22,LL,,seth
TJ17-37A,109,59,153,LL,,seth
TJ17-37A,343,83,44,NL,,seth
TJ17-37A,337,78,31,NL,"younger, same plane",seth
TJ17-37A,337,78,167,LL,"older, same plane",seth
TJ17-37A,241,75,33,LL,,seth
TJ17-37A,166,66,165,LL,"red, large",seth
TJ17-37B,154,78,163,LL,,seth
TJ17-37B,173,85,149,LL,red,seth
TJ17-37B,101,72,169,RL,red,seth
TJ17-37C,140,88,,RL,red,seth
TJ17-37C,202,72,172,LL,,seth
TJ17-37C,176,61,92,N,sketch,seth
TJ17-37C,352,41,143,,sketch,seth
TJ17-37C,206,76,168,LL,,seth
TJ17-37C,152,57,161,RL,"xcuts next, red",seth
TJ17-37C,210,56,171,LL,,seth
TJ17-37E,65,76,43,NL,pink,seth
TJ17-37E,205,77,164,,,seth
TJ17-37E,149,62,138,TL,,seth
FL17-67,110,78,167,RL,purple/green,seth
FL17-67,257,79,7,RL,red,seth
FL17-67,26,71,28,LL,,seth
FL17-67,94,56,162,LL,,seth
FL17-67,105,67,163,LL,,seth
FL17-67,155,84,162,LL,,seth
FL17-67,343,84,12,LL,,seth
FL17-67,64,55,8,LL,,seth
FL17-67,47,86,6,LL,,seth
FL17-67,143,75,121,NL,,seth
FL17-67,135,80,160,RL,,seth
FL17-68,139,67,123,TL,,seth
FL17-68,153,45,127,TL,,seth
FL17-68,123,64,165,LL,,seth
FL17-68,118,65,150,LL,,seth
FL17-68,288,90,18,LL,,seth
FL17-68,97,80,161,RL,,seth
FL17-68,95,55,156,,,seth
FL17-68,4,80,19,LL,,seth
FL17-68,25,80,169,LL,rivulets,seth
FL17-68,294,82,41,NL,big,seth
FL17-68,10,62,169,RL,big,seth
FL17-69,351,65,,,"orange, big",seth
FL17-69,338,73,,,"orange, big",seth
FL17-69,122,47,151,,,seth
FL17-69,133,84,153,LL,,seth
FL17-69,38,51,97,N,photo,seth
FL17-69,359,80,,,big,seth
FL17-69,7,78,,,big,seth
FL17-69,43,53,,,big,seth
FL17-69,36,31,123,N,big,seth
FL17-70,174,90,141,NL,"big, 10cm",seth
FL17-70,54,75,161,LL,,seth
FL17-70,43,71,18,LL,,seth
FL17-70,54,76,9,LL,,seth
FL17-70,69,69,30,LL,,seth
FL17-70,73,59,111,TL,,seth
FL17-70,38,60,51,NL,"big, 20cm, green",seth
FL17-70,163,76,125,NR,,seth
FL17-70,21,85,27,LL,,seth
FL17-71,21,54,172,RL,,seth
FL17-71,97,78,137,TL,,seth
FL17-71,100,90,105,,,seth
FL17-71,50,61,145,LL,"photo, big, gouge",seth
FL17-71,44,36,115,NR,,seth
FL17-71,31,44,142,NR,,seth
FL17-71,25,48,90,N,,seth
FL17-71,204,77,68,NL,,seth
FL17-72,121,75,167,LL,,seth
FL17-72,89,75,,,,seth
FL17-72,92,67,,,"big, pink, brecciated",seth
FL17-72,19,81,,LL,xcuts next,seth
FL17-72,80,48,,,,seth
FL17-72,40,45,,,big,seth
FL17-72,97,62,,,subhorizontal slicks,seth
FL17-72,90,66,,,in dike,seth
FL17-72,100,74,160,LL,"5cm, pink, in dike",seth
FL17-73,263,85,150,LL,,seth
FL17-73,342,64,90,N,,seth
FL17-73,115,77,167,LL,,seth
FL17-73,347,34,154,RL,,seth
FL17-73,10,79,87,N,,seth
FL17-74,107,79,144,NL,,seth
FL17-74,141,50,173,LL,"big, open",seth
FL17-74,160,76,170,LL,"big, polished, red",seth
FL17-74,146,57,3,LL,big,seth
FL17-74,115,54,15,RL,,seth
FL17-74,164,83,140,NL,,seth
FL17-74,160,69,77,T,iffy,seth
FL17-74,347,79,95,N,,seth
FL17-74,127,65,162,LL,,seth
FL17-74,1,74,69,NL,,seth
FL17-74,2,83,94,T,,seth
FL17-74,16,87,104,N,,seth
FL17-74,33,60,49,NL,,seth
FL17-74,359,58,158,NR,in dike,seth
FL17-74,357,74,127,NR,in dike,seth
FL17-74,323,80,139,NR,in dike,seth
FL17-74,154,83,66,TR,in dike,seth
FL17-74,13,49,120,NR,,seth
FL17-74,17,71,96,N,,seth
FL17-74,11,71,22,LL,,seth
FL17-74,18,61,87,N,,seth
FL17-74,15,60,50,NL,iffy,seth
FL17-75A,77,64,,RL,subhorizontal slicks,seth
FL17-75A,212,90,6,LL,,seth
FL17-75A,204,66,16,LL,,seth
FL17-75A,25,87,29,RL,,seth
FL17-75A,245,80,170,LL,,seth
FL17-75B,63,70,23,LL,"photo, offsets sill",seth
FL17-75B,207,73,,NR,"photo, offsets sill",seth
FL17-75B,72,63,27,LL,gouge,seth
FL17-75B,33,70,32,LL,gouge,seth
FL17-75B,141,87,,,photo,seth
FL17-75B,103,86,,,offsets sill,seth
EY17-03,20,83,,,,seth
EY17-05,201,83,,,,seth
FL17-76,111,85,155,LL,,seth
FL17-76,112,80,144,LL,,seth
FL17-76,291,75,35,LL,,seth
FL17-76,280,60,170,RL,,seth
FL17-76,304,68,41,TR,,seth
FL17-77,67,89,,RL,offsets dikelet,seth
FL17-77,321,71,,RL,offsets dikelet,seth
FL17-77,15,76,168,RL,pink,seth
FL17-77,12,56,,,"gouge, red",seth
FL17-77,70,81,148,RL,,seth
FL17-77,185,41,48,NL,,seth
FL17-77,130,27,42,NL,shattered zone,seth
FL17-77,355,32,,N,big,seth
FL17-81,63,74,15,LL,,seth
FL17-81,325,56,23,LL,iffy,seth
FL17-81,30,67,158,RL,,seth
FL17-81,26,71,168,RL,big,seth
FL17-84,9,48,80,N,,seth
FL17-84,18,50,92,N,,seth
FL17-84,49,73,95,,,seth
FL17-84,70,73,148,RL,,seth
FL17-85,46,78,128,TL,,seth
FL17-85,334,83,9,RL,,seth
FL17-85,137,90,10,RL,,seth
FL17-85,16,74,172,LL,,seth
FL17-86,282,89,,,,seth
FL17-86,245,63,,,,seth
FL17-86,309,64,38,NL,,seth
FL17-86,109,90,145,,,seth
FL17-86,48,84,17,RL,,seth
FL17-86,0,63,,,"big, thru-going",seth
FL17-88,42,72,,,10cm core,seth
FL17-90,15,62,63,,highly polished,seth
FL17-90,19,77,59,,highly polished,seth
TJ17-39,130,45,,,,seth
TJ17-39,131,66,,,,seth
TJ17-39,68,72,,,,seth
TJ17-39,203,90,,,,seth
TJ17-39,5,50,116,N,inside B.Z.,seth
TJ17-39,342,80,,,in dike,seth
TJ17-39,24,87,175,LL,,seth
TJ17-39,164,86,,,,seth
TJ17-39,22,64,6,LL,big,seth
TJ17-39,76,61,46,,,seth
TJ17-39,280,83,130,N,,seth
TJ17-39,260,73,,,,seth
TJ17-39,120,62,,,,seth
TJ17-39,186,88,166,RL,,seth
TJ17-39,49,69,,,"red, thin",seth
TJ17-39,46,67,,,"red, thin",seth
TJ17-38,90,68,24,LL,red,seth
TJ17-38,352,86,28,LL ,iffy,seth
TJ17-38,178,70,164,LL,red,seth
TJ17-38,67,86,175,,red,seth
TJ17-38,246,86,7,LL,red,seth
