station,easting,northing
TJ18-45 E,667271.8533,7330118.24
TJ18-46,668820.967,7340967.487
TJ18-47 A,664394.8958,7327735.531
TJ18-47 E,664316.8126,7327667.124
TJ18-47 F,664301.8637,7327662.461
TJ18-47 H,664255.0295,7327642.773
TJ18-47 J,664224.1765,7327591.064
TJ18-47 K,664202.4476,7327558.311
TJ18-47 L,664176.6322,7327533.363
TJ18-47 M,664150.0285,7327489.83
TJ18-47 N,664131.8309,7327461.191
TJ18-47 N,664121.1372,7327434.773
TJ18-47 Q,664041.9146,7327309.572
TJ18-47 R,664141.432,7327082.237
TJ18-47 S,664186.9202,7326994.178
TJ18-48 A,664102.8658,7326890.252
TJ18-48 B,664050.2655,7326832.486
TJ18-48 C,664023.0561,7326786.686
TJ18-48 D,663974.9729,7326723.822
TJ18-48 E,663875.5314,7326454.726
TJ18-48 F,663835.0014,7326417.541
TJ18-48 G,663837.7378,7326281.108
TJ18-49 A,667893.2391,7336659.948
TJ18-49 B,667966.2279,7336782.35
TJ18-49 C,667641.106,7336618.402
TJ18-49 D,667567.5823,7336597.959
TJ18-49 E,667476.3146,7336575.014
TJ18-49 F,667453.3866,7336442.858
TJ18-49 G,667447.9103,7336413.715
TJ18-49 H,667449.5227,7336383.429
TR18-10,611973.7759,7321925.074
TR18-11,612638.5612,7324825.085
TR18-12,612225.443,7325906.113
TR18-12,612222.7094,7325991.354
TR18-12,612222.4651,7326079.036
TR18-13,607319.3946,7330471.451
TR18-14,611853.239,7328784.698
TJ18-42,665239.051,7335482.044
FL18-68,639041.5896,7339000.704
FL18-71,638254.7762,7339764.881
FL18-69,637062.6952,7340001.103
FL18-72,638781.8939,7339348.593
