station,strike,dip,width,shear,fill,recorder,comments
FL18-69 C,312,80,2,N,,PA,
FL18-69 C,328,85,10,N,"white, gouge",PA,
FL18-69 C,16,60,,,,PA,
FL18-69 C,23,40,,N,,PA,
FL18-69 D,76,51,,,,PA,
FL18-69 D,37,61,,,,PA,
FL18-69 D,340,67,100,,,PA,
FL18-69 E,66,58,,LL/N,,PA,
FL18-69 E,325,88,,,,PA,
FL18-69 E,15,80,,,,PA,
FL18-69 E,1,77,,,,PA,
FL18-67 A,65,77,,,,PA,
FL18-67 A,42,64,,,,PA,
FL18-67 A,165,69,,,,PA,
FL18-67 A,95,55,,,,PA,
FL18-67 B,90,68,,,,PA,
FL18-67 B,85,61,15,,damage zone,PA,
FL18-67 B,91,56,,,,PA,
FL18-67 B,341,87,,,,PA,
FL18-67 B,186,90,,,,PA,
FL18-95 A,95,40,10,,,PA,
FL18-95 B,49,57,,,,PA,
FL18-95 B,158,47,10,,,PA,
FL18-95 B,203,85,very large,N,,PA,
FL18-95 B,175,62,,,,PA,
FL18-99 C,105,75,,LL,,PA,
FL18-99 E,125,90,,,,PA,
FL18-75 A,0,75,3,N,damage zone,PA,
TJ18-42,304,68,,,,MB,
TJ18-42,319,66,,,,MB,
TJ18-42,10,87,,,,MB,
TJ18-42,18,84,,,,MB,
TJ18-42,25,84,,,,MB,
TJ18-37 Z,25,88,,,,MB,
TJ18-42,309,60,,,,MB,
