station,strike,dip,trend,plunge,substation
F12,131,79,155.2,64.6,N2
F12,132,70,210.4,69.6,N2
F12,138,65,188.8,59,N2
F12,122,43,209.3,43,N2
F12,140,61,215.8,60.2,N2
F12,101,58,158,53.3,N2
F12,121,65,160.7,53.9,N2
F12,127,67,164.5,55.1,N2
F110,121,47,163.1,35.7,N3
F110,233,57,312.1,56.5,N3
F110,214,79,224.1,42,N3
F110,181,77,215.7,67.9,N3
F110,211,59,295.2,58.9,N3
F110,152,52,250.1,51.7,N3
F110,208,61,267.4,57.2,N3
F110,150,71,211.6,68.6,N3
F110,156,60,301.5,44.5,N3
F110,180,73,306,69.3,N3
F110,196,67,211.3,31.9,N3
F110,197,81,210.5,55.9,N3
F110,173,65,281.4,63.8,N3
F110,180,52,230.4,44.6,N3
F110,169,58,237.1,56,N3
F110,158,54,249.7,54,N3
F110,184,53,245.6,49.4,N3
F110,164,68,254,68,N3
F110,193,76,229.7,67.3,N3
F110,204,58,241.1,44,N3
F110,196,77,215.1,54.8,N3
F110,185,62,228.9,52.5,N3
F110,194,56,266.5,54.7,N3
F110,206,74,263.4,71.2,N3
F110,180,61,263.8,60.9,N3
F110,180,63,263.4,62.8,N3
F110,202,68,254.6,63,N3
F110,252,59,4.4,57,N3
F110,185,69,208.1,45.7,N3
F110,200,72,223,50.3,N3
F18A,264,43,347.2,42.8,N3
F18A,268,49,356.5,49,N3
F18A,208,53,288.1,52.6,N3
F18A,164,57,291.9,50.5,N3
F18A,208,63,282.9,62.2,N3
F18A,174,63,248.9,62.2,N3
F18A,122,64,225.5,63.4,N3
F18A,199,72,348.8,57.1,N3
F18A,198,78,302.1,77.6,N3
F18A,196,82,253.8,80.6,N3
F18A,101,63,223.3,58.9,N3
F18A,104,71,144.3,62,N3
F18A,61,54,137.6,53.2,N3
F18A,20,60,106,59.9,N3
F18A,35,75,96.5,73,N3
F18A,35,60,57.8,33.8,N3
F18A,55,71,109.7,67.1,N3
F18A,44,68,88.3,60,N3
SK,177,71,290.3,69.4,N3
SK,184,58,285.2,57.5,N3
SK,145,74,227.8,73.9,N3
SK,153,87,330.9,34.9,N3
SK,196,80,214.8,61.3,N3
SK,187,75,216,61.1,N3
SK,31,78,32.5,6.8,N3
SK,24,67,91.9,65.4,N3
SK,21,72,120.6,71.8,N3
SK,12,77,110.8,76.8,N3
SK,201,75,229.7,63.3,N3
SK,205,78,360,63.3,N3
EY6,228,42,23.1,20.8,N4
EY6,292,57,4.1,55.7,N4
EY6,105,60,189,59.9,N4
EY6,110,73,196.6,73,N4
EY6,85,78,160.9,77.6,N4
EY6,94,74,208,72.6,N4
EY6,92,76,223.3,71.6,N4
F15A,185,63,231.9,55.1,N4
F15A,154,71,290.6,63.4,N4
F15A,136,67,256.6,63.8,N4
F15A,132,65,250.6,62,N4
F15A,214,28,300.6,28,N4
F15A,200,60,244.5,50.5,N4
F15A,216,57,295.1,56.5,N4
F15A,190,32,284.7,31.9,N4
F15A,217,37,279,33.6,N4
F15A,219,44,277.2,39.4,N4
F15A,199,41,269.5,39.3,N4
F15A,192,52,236.6,41.9,N4
F15A,193,51,276.7,50.8,N4
F15A,327,84,338.6,62.4,N4
F15A,26,35,128.1,34.4,N4
F15A,16,69,67.3,63.8,N4
F15A,25,40,88.4,36.9,N4
F15A,313,63,9.9,57.6,N4
F15A,349,73,32.7,66.1,N4
F15A,344,73,14.9,59.3,N4
F15A,341,68,14,53.4,N4
F15A,322.5,57,86.3,52,N4
F15A,318,52,86.4,45.1,N4
F15A,327,64,25.6,60.2,N4
F15A,332.5,65,30.1,61.1,N4
F15A,317,64,25.1,62.3,N4
F15A,29,53,72.9,42.6,N4
F15A,1,43,55,37,N4
F15A,5,45,38.4,28.8,N4
F15A,11,47,70.4,42.7,N4
F15A,17,50,80.2,46.8,N4
F15A,24,44,84.7,40.1,N4
F19,352,73,138.7,60.9,N4
F19,324,52,4.3,39.6,N4
