station,strike,dip,rake,width (cm),color,recorder,comments
FL18-67 B,320,90,310,,,PA,RL
FL18-67 C,46,77,315,,,PA,LL
FL18-67 C,66,75,14,,,PA,LL
FL18-67 E,228,80,40,,,NH,LL
FL18-67 E,54,86,330,,,SWS,LL
FL18-67 E,13,57,90,,,SWS,N
FL18-67 E,280,72,90,,,SWS,N
FL18-67 E,234,71,82,,,SWS,N
FL18-68,15,80,0,,,ST,LL
FL18-68,75,62,12,,"red, white, green",ST,LL
FL18-68,205,88,19,,,ST,LL
FL18-68,70,70,0,,,ST,LL/N
FL18-68,94,63,183,,,ST,RL
FL18-68 A,116,61,329,,,PA,LL
FL18-68 A,51,69,8,,,PA,LL
FL18-68 A,314,76,30,,,PA,LL/N
FL18-68 A,266,67,205,,,PA,RL
FL18-68 A,95,85,166,,,PA,RL
FL18-68 B,109,67,330,,,PA,LL
FL18-68 C,125,70,32,,,NH,LL
FL18-68 C,16,52,30,,red brown,NH,LL
FL18-68 C,95,60,210,25,"red, white",NH,RL
FL18-68 C,68,50,185,,"red, white",NH,RL
FL18-68 D,80,60,157,,"dark red brown, white",NH,RL
FL18-68 D,315,66,135,,,NH,RL/N
FL18-68 E,1,60,330,,,PA,LL
FL18-68 E,46,66,0,,,PA,LL
FL18-68 F,130,75,10,,no minerals,NH,LL
FL18-68 F,40,80,0,,white,NH,LL
FL18-68 F,54,75,8,,"green, white",NH,LL
FL18-68 F,150,85,330,,green ,NH,LL
FL18-68 G,338,84,5,,,PA,LL
FL18-69 B,124,60,8,,,PA,LL
FL18-69 B,104,63,24,,,PA,LL
FL18-69 B,321,84,24,,,PA,N
FL18-69 C,319,66,24,,,PA,N
FL18-69 C,8,45,85,,,PA,N
FL18-69 C,122,50,50,,,PA,N
FL18-69 D,68,82,305,,,SWS,LL
FL18-69 D,73,49,188,,,SWS,RL
FL18-69 D,68,82,286,,,SWS,T
FL18-69 E,110,68,350,,,PA,LL
FL18-69 E,47,40,18,,,PA,LL
FL18-71,272,80,0,,red,ST,LL
FL18-71,274,10,350,,red,ST,LL
FL18-71,65,30,30,,red,ST,LL/N
FL18-71,225,62,135,,green,ST,LL/N
FL18-71,272,60,275,,green,ST,T
FL18-71 C,44,80,55,,,NH,LL
FL18-71 D,175,85,340,,green,ST,LL
FL18-72 A,154,90,10,,,NH,LL
FL18-72 A,228,68,340,,,NH,LL
FL18-72 A,45,70,340,,green,NH,LL
FL18-72 A,15,38,65,,,NH,N
FL18-72 A,333,50,340,,"green, red",NH,N
FL18-72 A,248,50,315,,"green, red",NH,T
FL18-72 B,125,72,345,,,NH,LL
FL18-72 B,340,80,5,,,NH,LL
FL18-72 B,10,60,24,,,NH,LL
FL18-72 B,204,86,348,,,NH,LL
FL18-72 B,68,75,180,,dirt or clay on surface,NH,RL
FL18-72 B,74,90,175,,,NH,RL
FL18-72 F,347,66,10,,green,NH,LL
FL18-72 F,120,90,346,,"red, white",NH,LL
FL18-95,45,34,50,,red,ST,LL
FL18-95,130,74,340,,,ST,LL
FL18-95,175,74,344,,red,ST,LL
FL18-95,3,70,123,,tan slicks,ST,N
FL18-95,11,72,205,,red,ST,RL
FL18-95,285,85,340,,red,ST,RL
FL18-95,112,55,180,,red,ST,RL
FL18-95 A,15,70,125,10,,PA,N
FL18-95 A,343,60,238,,,PA,RL
FL18-95 A,0,83,130,,,PA,RL/N
FL18-95 B,39,75,73,,,PA,N
FL18-95 B,19,75,105,,green,PA,N
FL18-95 B,35,74,122,,,PA,N
FL18-95 B,74,58,66,,,PA,N
FL18-95 B,272,55,0,,,NH,RL
