 ,easting,northing,strike,dip,length
143,624412.953,7331630.698,168.822,90,1753.04
144,641014.7771,7331686.898,48.884,90,587.784
145,642931.3019,7331203.141,45.075,90,1191.036
146,630511.6455,7331796.341,15.883,90,902.3
147,625551.3779,7331036.28,180,90,1649.92
148,624846.3986,7331196.806,10.707,90,1268.376
149,640148.1041,7331037.912,55.46,90,1211.66
150,636033.6622,7331448.569,51.067,90,953.86
151,625076.8677,7330901.11,8.559,90,1572.58
152,636330.5302,7331298.565,54.394,90,933.236
153,624089.2407,7330779.542,151.432,90,907.456
154,626078.3703,7329994.581,20.98,90,2330.512
155,627637.9656,7330464.215,180,90,1237.44
156,637533.3292,7330506.163,37.846,90,1026.044
157,645094.4244,7329788.201,60.463,90,953.86
158,640059.3141,7330081.975,59.225,90,974.484
159,627620.3332,7329371.036,26.244,90,2964.7
160,645625.3734,7329404.702,34.697,90,907.456
161,627255.1276,7330161.156,12.833,90,577.472
162,629062.7676,7328816.868,177.807,90,3268.904
163,629303.4476,7324997.097,4.565,90,11075.088
164,640162.827,7329541.071,47.213,90,1093.072
165,625251.0926,7329502.977,12.553,90,1026.044
166,637509.4597,7329081.934,49.323,90,1732.416
167,628864.1176,7328476.1,178.007,90,2340.824
168,628652.9655,7329064.65,5.369,90,1175.568
169,640630.9131,7328831.335,4.42,90,830.116
170,626519.0643,7328599.452,172.605,90,1876.784
171,628496.6733,7329298.237,176.777,90,417.636
172,644791.0839,7328336.002,37.358,90,928.08
173,645104.7906,7328429.697,39.359,90,783.712
174,640968.1705,7328816.163,68.1,90,458.884
175,624187.7824,7326684.565,3.356,90,5063.192
176,640212.9145,7328461.457,44.831,90,804.336
177,647306.0493,7327888.573,77.414,90,742.464
178,628024.334,7328438.852,4.14,90,1655.076
179,632285.2834,7327917.585,180,90,685.748
180,627823.5549,7328379.815,9.437,90,634.188
181,646094.6187,7327550.466,64.472,90,1381.808
182,625048.2693,7327669.606,10.187,90,1753.04
183,624955.3993,7326411.382,19.275,90,4521.812
184,643758.5247,7327314.748,40.242,90,1268.376
185,626094.4639,7327719.463,13.046,90,752.776
186,626872.5356,7326178.024,3.45,90,2964.7
187,627373.6173,7326799.826,2.746,90,1031.2
188,627587.0055,7326796.982,6.047,90,902.3
189,632005.5754,7326006.345,7.957,90,2541.908
190,627610.4395,7325977.494,11.482,90,2495.504
191,626193.1012,7325575.328,178.22,90,3026.572
192,644156.0308,7325863.194,48.948,90,1098.228
193,631538.7087,7325080.018,10.549,90,3222.5
194,646674.7015,7324935.176,27.36,90,1474.616
195,629062.1773,7325690.577,174.142,90,1216.816
196,626571.3606,7325946.25,25.167,90,629.032
197,628864.4669,7325607.277,174.387,90,1077.604
198,644088.0576,7324965.971,54.946,90,1356.028
199,628241.0322,7325384.496,177.911,90,799.18
200,636420.7266,7324971.271,12.1,90,1448.836
201,626478.4643,7324926.622,180,90,824.96
202,642346.717,7323923.252,13.955,90,1536.488
203,627610.9769,7324701.201,176.23,90,757.932
204,644716.7356,7323725.083,22.768,90,1278.688
205,642747.818,7324083.47,37.832,90,928.08
206,627868.412,7323834.077,179.411,90,2474.88
207,628769.2526,7324254.634,4.574,90,587.784
208,630984.1132,7323463.308,12.215,90,2186.144
209,629027.3938,7324147.77,180,90,587.784
210,640912.4629,7323406.312,26.58,90,1366.34
211,625788.4326,7323559.067,170.844,90,1330.248
212,629764.2606,7323021.842,5.533,90,1871.628
213,631647.5146,7323093.248,180,90,1443.68
214,626996.7784,7323249.857,180,90,824.96
215,625887.1011,7321889.693,10.452,90,3439.052
216,628533.905,7321229.309,0.64,90,3851.532
217,631359.0455,7321490.191,177.743,90,3372.024
218,628301.0783,7321508.028,3.25,90,3207.032
219,631094.2912,7322250.124,167.271,90,1056.98
220,627110.5207,7321273.485,5.752,90,2938.92
221,626823.3743,7322221.682,178.936,90,726.996
222,627514.1692,7321002.277,9.906,90,2732.68
223,637307.933,7320483.547,18.746,90,2650.184
224,638279.3009,7320999.308,17.879,90,1206.504
225,641465.634,7320405.408,10.442,90,1056.98
226,641122.8358,7319928.781,20.829,90,1185.88
227,643415.3902,7319474.526,179.15,90,1443.68
228,625929.8493,7320132.578,8.662,90,979.64
229,642956.4187,7319058.715,6.766,90,938.392
230,628677.2918,7340891.468,16.173,90,763.68
231,623072.7242,7340785.682,112.549,90,1047.48
232,627252.4989,7339297.393,68.015,90,908.16
233,638634.0266,7338761.192,97.193,90,1253.88
234,623215.4734,7335873.736,72.748,90,2208.48
235,640189.534,7331166.706,9.817,90,1403.52
