station,strike,dip,width (cm),shear,color,recorder,comments
TJ17-37 B,156,85,,,,ST,
TJ17-37 B,105,72,,,,ST,
TJ17-37 B,85,60,,,,ST,
TJ17-37 B,83,73,10,,,ST,
TJ17-37 B,100,62,,,,ST,
TJ17-37 B,93,64,,,,ST,
TJ17-37 D,45,68,,,,ST,
TJ17-37 D,212,78,,,,ST,
TJ17-37 D,230,90,,,,ST,
TJ17-37 E,240,62,,,,ST,
FL17-67,67,52,,,,ST,
FL17-67,58,44,,,,ST,
FL17-67,52,48,,,,ST,
FL17-67,350,68,,,,ST,
FL17-67,135,64,,,,ST,
FL17-67,101,80,,,,ST,
FL17-67,95,58,50,,,ST,
FL17-67,70,45,,,,ST,
FL17-67,91,38,,,,ST,
FL17-67,40,38,,,,ST,
FL17-70,62,49,100,,,ST,
FL17-71,50,78,,,,ST,
FL17-71,45,68,,,,ST,
FL17-71,83,64,,,,ST,
FL17-71,100,60,,,,ST,
FL17-71,58,66,,,,ST,
FL17-71,76,50,,,,ST,
FL17-71,226,85,,,,ST,
FL17-71,47,73,,,,ST,
FL17-71,71,68,,,,ST,
FL17-71,87,60,,,,ST,
FL17-71,0,65,,,,ST,
FL17-71,165,78,,,,ST,
FL17-71,355,72,,,,ST,
FL17-71,10,62,,,,ST,
FL17-71,49,59,,,,ST,
FL17-71,146,73,,,,ST,
FL17-71,28,62,,,,ST,
FL17-71,343,89,,,,ST,
FL17-71,46,60,,,,ST,
FL17-71,63,66,,,,ST,
FL17-71,55,86,,,,ST,
FL17-71,35,60,,,,ST,
FL17-71,176,69,,,,ST,
FL17-71,75,75,,,,ST,
FL17-71,83,77,,,,ST,margin of zone
FL17-71,271,86,,,,ST,margin of zone
FL17-73,99,63,,,,ST,
FL17-73,165,88,,,,ST,
FL17-73,70,80,,,,ST,
FL17-73,257,88,,,,ST,
FL17-73,95,88,,,,ST,
FL17-73,90,80,,,,ST,
FL17-73,252,85,,,,ST,
FL17-73,45,50,,,,ST,
FL17-73,0,62,,,,ST,
FL17-73,13,62,,,,ST,
FL17-73,103,78,,,,ST,
FL17-73,107,2,,,,ST,
FL17-73,358,82,,,,ST,
FL17-73,115,78,,,,ST,in dike
FL17-73,45,62,,,,ST,
FL17-73,185,73,,,,ST,
FL17-74,55,82,10,,,ST,
FL17-74,220,80,,,,ST,
FL17-74,146,58,100,,,ST,
FL17-74,75,60,,,,ST,vein block
FL17-74,44,47,,,,ST,vein block
FL17-74,1,90,,,,ST,vein block
FL17-74,22,58,,,,ST,vein block
FL17-74,93,53,,,,ST,vein block C
FL17-74,85,60,,,,ST,vein block C
FL17-74,30,71,,,,ST,vein block C
FL17-74,222,58,,,,ST,vein block C
FL17-74,135,60,,,,ST,
FL17-75 A,56,49,,,,ST,thru outcrop
FL17-75 A,55,82,,,,ST,
FL17-75 A,214,81,,,,ST,
FL17-75 A,80,47,,,,ST,
FL17-75 A,85,60,,,,ST,
FL17-75 A,61,65,3,,red,ST,
FL17-75 B,183,71,50,,,ST,
FL17-75 B,110,67,50,,,ST,
FL17-75 B,294,82,20,,,ST,
FL17-75 B,15,59,30,,,ST,in flow top
FL17-76,6,53,,,,ST,
FL17-76,354,43,,,,ST,
FL17-76,14,48,,,,ST,
FL17-76,40,58,,,,ST,
FL17-76,351,72,,,,ST,
FL17-76,16,42,,,,ST,
FL17-77,352,69,,,,ST,
FL17-77,245,80,5,,,ST,A
FL17-77,87,71,,,,ST,B
FL17-77,54,78,,,,ST,C
